Human_ID	Mouse_ID	Mouse_name	Human_name
ENSG00000143418	ENSMUSG00000015714	Cers2	CERS2
ENSG00000143412	ENSMUSG00000015702	Anxa9	ANXA9
ENSG00000143409	ENSMUSG00000038712	Mindy1	MINDY1
ENSG00000143363	ENSMUSG00000015711	Prune1	PRUNE1
ENSG00000163141	ENSMUSG00000028115	Bnipl	BNIPL
ENSG00000143443	ENSMUSG00000068860	Gm128	C1orf56
ENSG00000197622	ENSMUSG00000046722	Cdc42se1	CDC42SE1
ENSG00000213190	ENSMUSG00000053192	Mllt11	MLLT11
ENSG00000143458	ENSMUSG00000038766	Gabpb2	GABPB2
ENSG00000143434	ENSMUSG00000038777	Sema6c	SEMA6C
ENSG00000163154	ENSMUSG00000013707	Tnfaip8l2	TNFAIP8L2
ENSG00000163156	ENSMUSG00000092607	Scnm1	SCNM1
ENSG00000163155	ENSMUSG00000053769	Lysmd1	LYSMD1
ENSG00000163157	ENSMUSG00000005628	Tmod4	TMOD4
ENSG00000163159	ENSMUSG00000008958	Vps72	VPS72
ENSG00000143398	ENSMUSG00000028126	Pip5k1a	PIP5K1A
ENSG00000159352	ENSMUSG00000005625	Psmd4	PSMD4
ENSG00000143373	ENSMUSG00000019338	Zfp687	ZNF687
ENSG00000143393	ENSMUSG00000038861	Pi4kb	PI4KB
ENSG00000143390	ENSMUSG00000005774	Rfx5	RFX5
ENSG00000143416	ENSMUSG00000068877	Selenbp2	SELENBP1
ENSG00000143416	ENSMUSG00000068874	Selenbp1	SELENBP1
ENSG00000159377	ENSMUSG00000005779	Psmb4	PSMB4
ENSG00000143442	ENSMUSG00000038902	Pogz	POGZ
ENSG00000143375	ENSMUSG00000068876	Cgn	CGN
ENSG00000252840	ENSMUSG00000089069	Gm22840	AL365436.3
ENSG00000143367	ENSMUSG00000005968	Tuft1	TUFT1
ENSG00000143376	ENSMUSG00000028136	Snx27	SNX27
ENSG00000206635	ENSMUSG00000088910	Gm22608	RNU6-1062P
ENSG00000159409	ENSMUSG00000028137	Celf3	CELF3
ENSG00000178796	ENSMUSG00000028139	Riiad1	RIIAD1
ENSG00000143436	ENSMUSG00000028140	Mrpl9	MRPL9
ENSG00000143450	ENSMUSG00000028141	Oaz3	OAZ3
ENSG00000182134	ENSMUSG00000041912	Tdrkh	TDRKH
ENSG00000213171	ENSMUSG00000044505	Lingo4	LINGO4
ENSG00000143365	ENSMUSG00000028150	Rorc	RORC
ENSG00000225556	ENSMUSG00000091648	C2cd4d	C2CD4D
ENSG00000196407	ENSMUSG00000028148	Them5	THEM5
ENSG00000159445	ENSMUSG00000028145	Them4	THEM4
ENSG00000197747	ENSMUSG00000041959	S100a10	S100A10
ENSG00000163191	ENSMUSG00000027907	S100a11	S100A11
ENSG00000182898	ENSMUSG00000027908	Tchhl1	TCHHL1
ENSG00000159450	ENSMUSG00000052415	Tchh	TCHH
ENSG00000215853	ENSMUSG00000041984	Rptn	RPTN
ENSG00000197915	ENSMUSG00000041991	Hrnr	HRNR
ENSG00000143631	ENSMUSG00000102439	Flg	FLG
ENSG00000143520	ENSMUSG00000049133	Flg2	FLG2
ENSG00000143536	ENSMUSG00000078657	Crnn	CRNN
ENSG00000186207	ENSMUSG00000068889	Lce1e	LCE5A
ENSG00000186207	ENSMUSG00000027919	Lce1g	LCE5A
ENSG00000198854	ENSMUSG00000090314	2310050C09Rik	C1orf68
ENSG00000203786	ENSMUSG00000059832	Kprp	KPRP
ENSG00000285946	ENSMUSG00000103523	2210017I01Rik	AL162596.1
ENSG00000184148	ENSMUSG00000045566	Sprr4	SPRR4
ENSG00000163209	ENSMUSG00000045539	Sprr3	SPRR3
ENSG00000203784	ENSMUSG00000027927	Lelp1	LELP1
ENSG00000203783	ENSMUSG00000056270	Prr9	PRR9
ENSG00000159527	ENSMUSG00000042244	Pglyrp3	PGLYRP3
ENSG00000163218	ENSMUSG00000042250	Pglyrp4	PGLYRP4
ENSG00000207321	ENSMUSG00000064876	Gm23378	RNU6-160P
ENSG00000207321	ENSMUSG00000096085	Gm24465	RNU6-160P
ENSG00000163220	ENSMUSG00000096621	Gm5849	S100A9
ENSG00000143546	ENSMUSG00000056054	S100a8	S100A8
ENSG00000197956	ENSMUSG00000001025	S100a6	S100A6
ENSG00000196420	ENSMUSG00000001023	S100a5	S100A5
ENSG00000196154	ENSMUSG00000001020	S100a4	S100A4
ENSG00000188015	ENSMUSG00000001021	S100a3	S100A3
ENSG00000188015	ENSMUSG00000105518	Gm42674	S100A3
ENSG00000196754	ENSMUSG00000094018	S100a2	S100A2
ENSG00000188643	ENSMUSG00000074457	S100a16	S100A16
ENSG00000189334	ENSMUSG00000042306	S100a14	S100A14
ENSG00000189171	ENSMUSG00000042312	S100a13	S100A13
ENSG00000160678	ENSMUSG00000044080	S100a1	S100A1
ENSG00000160679	ENSMUSG00000001017	Chtop	CHTOP
ENSG00000143553	ENSMUSG00000001018	Snapin	SNAPIN
ENSG00000143621	ENSMUSG00000001016	Ilf2	ILF2
ENSG00000169418	ENSMUSG00000027931	Npr1	NPR1
ENSG00000143624	ENSMUSG00000027933	Ints3	INTS3
ENSG00000143554	ENSMUSG00000027932	Slc27a3	SLC27A3
ENSG00000143614	ENSMUSG00000042390	Gatad2b	GATAD2B
ENSG00000198837	ENSMUSG00000042404	Dennd4b	DENND4B
ENSG00000160741	ENSMUSG00000027936	Crtc2	CRTC2
ENSG00000143570	ENSMUSG00000052310	Slc39a1	SLC39A1
ENSG00000285779	ENSMUSG00000027937	Jtb	AL358472.7
ENSG00000143578	ENSMUSG00000027938	Creb3l4	CREB3L4
ENSG00000143543	ENSMUSG00000027937	Jtb	JTB
ENSG00000285641	ENSMUSG00000027935	Rab13	AL358472.6
ENSG00000143545	ENSMUSG00000027935	Rab13	RAB13
ENSG00000177954	ENSMUSG00000050621	Rps27rt	RPS27
ENSG00000143552	ENSMUSG00000027939	Nup210l	NUP210L
ENSG00000163263	ENSMUSG00000118506	1700094D03Rik	C1orf189
ENSG00000143612	ENSMUSG00000027942	4933434E20Rik	C1orf43
ENSG00000143612	ENSMUSG00000118504	4933434E20Rik	C1orf43
ENSG00000143569	ENSMUSG00000042520	Ubap2l	UBAP2L
ENSG00000201129	ENSMUSG00000077569	Gm24608	SNORA58B
ENSG00000143575	ENSMUSG00000027944	Hax1	HAX1
ENSG00000252682	ENSMUSG00000093245	Gm50449	AL354980.1
ENSG00000212292	ENSMUSG00000098486	Gm27385	RNU6-239P
ENSG00000222457	ENSMUSG00000098486	Gm27385	RNU6-121P
ENSG00000143515	ENSMUSG00000060671	Atp8b2	ATP8B2
ENSG00000160712	ENSMUSG00000027947	Il6ra	IL6R
ENSG00000169291	ENSMUSG00000046280	She	SHE
ENSG00000160714	ENSMUSG00000042572	Ube2q1	UBE2Q1
ENSG00000160716	ENSMUSG00000027950	Chrnb2	CHRNB2
ENSG00000160710	ENSMUSG00000027951	Adar	ADAR
ENSG00000143603	ENSMUSG00000000794	Kcnn3	KCNN3
ENSG00000163344	ENSMUSG00000027952	Pmvk	PMVK
ENSG00000163346	ENSMUSG00000042613	Pbxip1	PBXIP1
ENSG00000163348	ENSMUSG00000047824	Pygo2	PYGO2
ENSG00000160691	ENSMUSG00000042626	Shc1	SHC1
ENSG00000173207	ENSMUSG00000028044	Cks1b	CKS1B
ENSG00000160688	ENSMUSG00000042642	Flad1	FLAD1
ENSG00000163352	ENSMUSG00000078173	Lenep	LENEP
ENSG00000160685	ENSMUSG00000028042	Zbtb7b	ZBTB7B
ENSG00000163354	ENSMUSG00000109293	Dcst2	DCST2
ENSG00000163357	ENSMUSG00000042672	Dcst1	DCST1
ENSG00000143537	ENSMUSG00000028041	Adam15	ADAM15
ENSG00000243364	ENSMUSG00000028040	Efna4	EFNA4
ENSG00000143590	ENSMUSG00000028039	Efna3	EFNA3
ENSG00000169242	ENSMUSG00000027954	Efna1	EFNA1
ENSG00000169241	ENSMUSG00000027953	Slc50a1	SLC50A1
ENSG00000179085	ENSMUSG00000042737	Dpm3	DPM3
ENSG00000163463	ENSMUSG00000042747	Krtcap2	KRTCAP2
ENSG00000163462	ENSMUSG00000042766	Trim46	TRIM46
ENSG00000185499	ENSMUSG00000042784	Muc1	MUC1
ENSG00000169231	ENSMUSG00000028047	Thbs3	THBS3
ENSG00000173171	ENSMUSG00000064068	Mtx1	MTX1
ENSG00000177628	ENSMUSG00000028048	Gba	GBA
ENSG00000160767	ENSMUSG00000032657	Fam189b	FAM189B
ENSG00000116521	ENSMUSG00000028049	Scamp3	SCAMP3
ENSG00000176444	ENSMUSG00000068917	Clk2	CLK2
ENSG00000143630	ENSMUSG00000028051	Hcn3	HCN3
ENSG00000143627	ENSMUSG00000041237	Pklr	PKLR
ENSG00000160752	ENSMUSG00000059743	Fdps	FDPS
ENSG00000160753	ENSMUSG00000041263	Rusc1	RUSC1
ENSG00000116539	ENSMUSG00000028053	Ash1l	ASH1L
ENSG00000207144	ENSMUSG00000087832	Gm23958	RNU6-1297P
ENSG00000125459	ENSMUSG00000068922	Msto1	MSTO1
ENSG00000163374	ENSMUSG00000054199	Gon4l	YY1AP1
ENSG00000132676	ENSMUSG00000068921	Dap3	DAP3
ENSG00000116580	ENSMUSG00000054199	Gon4l	GON4L
ENSG00000132718	ENSMUSG00000068923	Syt11	SYT11
ENSG00000143622	ENSMUSG00000028057	Rit1	RIT1
ENSG00000132680	ENSMUSG00000028060	Khdc4	KHDC4
ENSG00000280466	ENSMUSG00000087990	Gm25058	SCARNA4
ENSG00000280466	ENSMUSG00000105448	Gm25820	SCARNA4
ENSG00000280466	ENSMUSG00000106307	Gm23370	SCARNA4
ENSG00000280466	ENSMUSG00000087716	Gm25825	SCARNA4
ENSG00000280466	ENSMUSG00000088777	Gm26039	SCARNA4
ENSG00000280466	ENSMUSG00000105400	Gm22897	SCARNA4
ENSG00000280466	ENSMUSG00000105120	Gm26413	SCARNA4
ENSG00000280466	ENSMUSG00000105886	Gm22813	SCARNA4
ENSG00000281394	ENSMUSG00000087990	Gm25058	SCARNA4
ENSG00000281394	ENSMUSG00000105448	Gm25820	SCARNA4
ENSG00000281394	ENSMUSG00000106307	Gm23370	SCARNA4
ENSG00000281394	ENSMUSG00000087716	Gm25825	SCARNA4
ENSG00000281394	ENSMUSG00000088777	Gm26039	SCARNA4
ENSG00000281394	ENSMUSG00000105400	Gm22897	SCARNA4
ENSG00000281394	ENSMUSG00000105120	Gm26413	SCARNA4
ENSG00000281394	ENSMUSG00000105886	Gm22813	SCARNA4
ENSG00000173080	ENSMUSG00000049741	Rxfp4	RXFP4
ENSG00000116584	ENSMUSG00000028059	Arhgef2	ARHGEF2
ENSG00000163479	ENSMUSG00000041355	Ssr2	SSR2
ENSG00000160803	ENSMUSG00000008604	Ubqln4	UBQLN4
ENSG00000116586	ENSMUSG00000028062	Lamtor2	LAMTOR2
ENSG00000132698	ENSMUSG00000008601	Rab25	RAB25
ENSG00000254726	ENSMUSG00000074480	Mex3a	MEX3A
ENSG00000160789	ENSMUSG00000028063	Lmna	LMNA
ENSG00000196189	ENSMUSG00000028064	Sema4a	SEMA4A
ENSG00000160785	ENSMUSG00000050144	Slc25a44	SLC25A44
ENSG00000160783	ENSMUSG00000028066	Pmf1	PMF1
ENSG00000242252	ENSMUSG00000074483	Bglap	BGLAP
ENSG00000242252	ENSMUSG00000074486	Bglap2	BGLAP
ENSG00000242252	ENSMUSG00000074489	Bglap3	BGLAP
ENSG00000160781	ENSMUSG00000041423	Paqr6	PAQR6
ENSG00000198952	ENSMUSG00000001415	Smg5	SMG5
ENSG00000163472	ENSMUSG00000001420	Tmem79	TMEM79
ENSG00000198715	ENSMUSG00000001418	Glmp	GLMP
ENSG00000189030	ENSMUSG00000033933	Vhl	VHLL
ENSG00000163468	ENSMUSG00000001416	Cct3	CCT3
ENSG00000163467	ENSMUSG00000010538	Tsacc	TSACC
ENSG00000132677	ENSMUSG00000103766	Gm38392	RHBG
ENSG00000132677	ENSMUSG00000104445	Rhbg	RHBG
ENSG00000207933	ENSMUSG00000106493	Mir9-1	MIR9-1
ENSG00000116604	ENSMUSG00000001419	Mef2d	MEF2D
ENSG00000183856	ENSMUSG00000028068	Iqgap3	IQGAP3
ENSG00000187862	ENSMUSG00000051036	Ttc24	TTC24
ENSG00000163382	ENSMUSG00000028070	Naxe	NAXE
ENSG00000160818	ENSMUSG00000028069	Gpatch4	GPATCH4
ENSG00000132702	ENSMUSG00000004894	Hapln2	HAPLN2
ENSG00000132692	ENSMUSG00000004892	Bcan	BCAN
ENSG00000132688	ENSMUSG00000004891	Nes	NES
ENSG00000143320	ENSMUSG00000004885	Crabp2	CRABP2
ENSG00000143319	ENSMUSG00000048039	Isg20l2	ISG20L2
ENSG00000143303	ENSMUSG00000004896	Rrnad1	RRNAD1
ENSG00000143314	ENSMUSG00000019710	Mrpl24	MRPL24
ENSG00000143321	ENSMUSG00000004897	Hdgf	HDGF
ENSG00000143294	ENSMUSG00000004895	Prcc	PRCC
ENSG00000027869	ENSMUSG00000028071	Sh2d2a	SH2D2A
ENSG00000198400	ENSMUSG00000028072	Ntrk1	NTRK1
ENSG00000027644	ENSMUSG00000005640	Insrr	INSRR
ENSG00000187800	ENSMUSG00000028073	Pear1	PEAR1
ENSG00000160838	ENSMUSG00000023084	Lrrc71	LRRC71
ENSG00000132694	ENSMUSG00000041977	Arhgef11	ARHGEF11
ENSG00000253831	ENSMUSG00000118505	ETV3L	ETV3L
ENSG00000117036	ENSMUSG00000003382	Etv3	ETV3
ENSG00000143297	ENSMUSG00000048031	Fcrl5	FCRL5
ENSG00000132704	ENSMUSG00000015852	Fcrls	FCRL2
ENSG00000163534	ENSMUSG00000059994	Fcrl1	FCRL1
ENSG00000073754	ENSMUSG00000015854	Cd5l	CD5L
ENSG00000183853	ENSMUSG00000041734	Kirrel	KIRREL1
ENSG00000158473	ENSMUSG00000041750	Cd1d2	CD1D
ENSG00000158473	ENSMUSG00000028076	Cd1d1	CD1D
ENSG00000197532	ENSMUSG00000051509	Olfr414	OR6Y1
ENSG00000186440	ENSMUSG00000066671	Olfr220	OR6P1
ENSG00000279111	ENSMUSG00000066672	Olfr417	OR10X1
ENSG00000279111	ENSMUSG00000059503	Olfr248	OR10X1
ENSG00000198967	ENSMUSG00000050788	Olfr419	OR10Z1
ENSG00000163554	ENSMUSG00000026532	Spta1	SPTA1
ENSG00000196171	ENSMUSG00000055033	Olfr420	OR6K2
ENSG00000203757	ENSMUSG00000051528	Olfr424	OR6K3
ENSG00000197403	ENSMUSG00000049528	Olfr429	OR6N1
ENSG00000180433	ENSMUSG00000046486	Olfr231	OR6K6
ENSG00000188340	ENSMUSG00000050134	Olfr430	OR6N2
ENSG00000163563	ENSMUSG00000090272	Mndal	MNDA
ENSG00000163563	ENSMUSG00000054203	Ifi205	MNDA
ENSG00000163563	ENSMUSG00000026536	Ifi211	MNDA
ENSG00000163563	ENSMUSG00000073489	Ifi204	MNDA
ENSG00000163564	ENSMUSG00000073491	Ifi213	PYHIN1
ENSG00000163564	ENSMUSG00000070501	Ifi214	PYHIN1
ENSG00000163564	ENSMUSG00000066677	Ifi208	PYHIN1
ENSG00000163565	ENSMUSG00000073491	Ifi213	IFI16
ENSG00000163565	ENSMUSG00000070501	Ifi214	IFI16
ENSG00000163565	ENSMUSG00000066677	Ifi208	IFI16
ENSG00000163568	ENSMUSG00000037860	Aim2	AIM2
ENSG00000162706	ENSMUSG00000005338	Cadm3	CADM3
ENSG00000213088	ENSMUSG00000037872	Ackr1	ACKR1
ENSG00000179639	ENSMUSG00000005339	Fcer1a	FCER1A
ENSG00000196266	ENSMUSG00000049456	Olfr1404	OR10J3
ENSG00000196266	ENSMUSG00000046643	Olfr218	OR10J3
ENSG00000184155	ENSMUSG00000037924	Olfr16	OR10J5
ENSG00000132703	ENSMUSG00000026542	Apcs	APCS
ENSG00000132693	ENSMUSG00000037942	Crp	CRP
ENSG00000158716	ENSMUSG00000026544	Dusp23	DUSP23
ENSG00000181036	ENSMUSG00000070504	Fcrl6	FCRL6
ENSG00000158714	ENSMUSG00000053318	Slamf8	SLAMF8
ENSG00000212161	ENSMUSG00000077191	Snord64	AL590560.1
ENSG00000243284	ENSMUSG00000049598	Vsig8	VSIG8
ENSG00000213085	ENSMUSG00000026546	Cfap45	CFAP45
ENSG00000158710	ENSMUSG00000026547	Tagln2	TAGLN2
ENSG00000085552	ENSMUSG00000037995	Igsf9	IGSF9
ENSG00000162723	ENSMUSG00000026548	Slamf9	SLAMF9
ENSG00000177807	ENSMUSG00000044708	Kcnj10	KCNJ10
ENSG00000143315	ENSMUSG00000050229	Pigm	PIGM
ENSG00000162728	ENSMUSG00000038026	Kcnj9	KCNJ9
ENSG00000162729	ENSMUSG00000038034	Igsf8	IGSF8
ENSG00000018625	ENSMUSG00000007097	Atp1a2	ATP1A2
ENSG00000132681	ENSMUSG00000007107	Atp1a4	ATP1A4
ENSG00000143318	ENSMUSG00000007122	Casq1	CASQ1
ENSG00000162734	ENSMUSG00000013698	Pea15a	PEA15
ENSG00000132716	ENSMUSG00000026554	Dcaf8	DCAF8
ENSG00000258465	ENSMUSG00000003464	Pex19	AL139011.2
ENSG00000162735	ENSMUSG00000003464	Pex19	PEX19
ENSG00000122218	ENSMUSG00000026553	Copa	COPA
ENSG00000162736	ENSMUSG00000003458	Ncstn	NCSTN
ENSG00000171786	ENSMUSG00000051251	Nhlh1	NHLH1
ENSG00000162738	ENSMUSG00000026556	Vangl2	VANGL2
ENSG00000162739	ENSMUSG00000015314	Slamf6	SLAMF6
ENSG00000066294	ENSMUSG00000038147	Cd84	CD84
ENSG00000117090	ENSMUSG00000015316	Slamf1	SLAMF1
ENSG00000117091	ENSMUSG00000015355	Cd48	CD48
ENSG00000026751	ENSMUSG00000038179	Slamf7	SLAMF7
ENSG00000122224	ENSMUSG00000004707	Ly9	LY9
ENSG00000122223	ENSMUSG00000004709	Cd244a	CD244
ENSG00000179914	ENSMUSG00000038209	Itln1	ITLN1
ENSG00000158769	ENSMUSG00000038235	F11r	F11R
ENSG00000215845	ENSMUSG00000103711	Tstd1	TSTD1
ENSG00000158773	ENSMUSG00000026641	Usf1	USF1
ENSG00000186517	ENSMUSG00000048865	Arhgap30	ARHGAP30
ENSG00000143217	ENSMUSG00000006411	Nectin4	NECTIN4
ENSG00000162755	ENSMUSG00000045259	Klhdc9	KLHDC9
ENSG00000143256	ENSMUSG00000006412	Pfdn2	PFDN2
ENSG00000158793	ENSMUSG00000013997	Nit1	NIT1
ENSG00000158796	ENSMUSG00000013973	Dedd	DEDD
ENSG00000238934	ENSMUSG00000089255	Snora78	AL591806.2
ENSG00000143222	ENSMUSG00000062963	Ufc1	UFC1
ENSG00000143258	ENSMUSG00000053483	Usp21	USP21
ENSG00000143224	ENSMUSG00000062729	Ppox	PPOX
ENSG00000158850	ENSMUSG00000052423	B4galt3	B4GALT3
ENSG00000158859	ENSMUSG00000006403	Adamts4	ADAMTS4
ENSG00000158864	ENSMUSG00000013593	Ndufs2	NDUFS2
ENSG00000158869	ENSMUSG00000058715	Fcer1g	FCER1G
ENSG00000158874	ENSMUSG00000005681	Apoa2	APOA2
ENSG00000158882	ENSMUSG00000005674	Tomm40l	TOMM40L
ENSG00000143257	ENSMUSG00000005677	Nr1i3	NR1I3
ENSG00000248485	ENSMUSG00000038370	Pcp4l1	PCP4L1
ENSG00000158887	ENSMUSG00000056569	Mpz	MPZ
ENSG00000143252	ENSMUSG00000058076	Sdhc	SDHC
ENSG00000188931	ENSMUSG00000026649	Cfap126	CFAP126
ENSG00000206921	ENSMUSG00000064728	Gm25851	RNU6-481P
ENSG00000143226	ENSMUSG00000026656	Fcgr2b	FCGR2A
ENSG00000143226	ENSMUSG00000059498	Fcgr3	FCGR2A
ENSG00000203747	ENSMUSG00000059089	Fcgr4	FCGR3A
ENSG00000244682	ENSMUSG00000026656	Fcgr2b	FCGR2C
ENSG00000244682	ENSMUSG00000059498	Fcgr3	FCGR2C
ENSG00000162747	ENSMUSG00000059089	Fcgr4	FCGR3B
ENSG00000072694	ENSMUSG00000026656	Fcgr2b	FCGR2B
ENSG00000072694	ENSMUSG00000059498	Fcgr3	FCGR2B
ENSG00000132185	ENSMUSG00000038421	Fcrla	FCRLA
ENSG00000162746	ENSMUSG00000070524	Fcrlb	FCRLB
ENSG00000081721	ENSMUSG00000026659	Dusp12	DUSP12
ENSG00000118217	ENSMUSG00000026663	Atf6	ATF6
ENSG00000162745	ENSMUSG00000038463	Olfml2b	OLFML2B
ENSG00000198929	ENSMUSG00000038473	Nos1ap	NOS1AP
ENSG00000254706	ENSMUSG00000102752	Gm7694	AL512785.2
ENSG00000171722	ENSMUSG00000042800	Spata46	SPATA46
ENSG00000198574	ENSMUSG00000102418	Sh2d1b1	SH2D1B
ENSG00000198574	ENSMUSG00000073494	Sh2d1b2	SH2D1B
ENSG00000152332	ENSMUSG00000026667	Uhmk1	UHMK1
ENSG00000117143	ENSMUSG00000026670	Uap1	UAP1
ENSG00000162733	ENSMUSG00000026674	Ddr2	DDR2
ENSG00000132196	ENSMUSG00000026675	Hsd17b7	HSD17B7
ENSG00000185860	ENSMUSG00000070532	Ccdc190	CCDC190
ENSG00000117152	ENSMUSG00000038530	Rgs4	RGS4
ENSG00000143248	ENSMUSG00000026678	Rgs5	RGS5
