Gene stable ID	Human gene stable ID	Human gene name	Gene name
ENSMMUG00000005777	ENSG00000185420	SMYD3	SMYD3
ENSMMUG00000024556	ENSG00000202184	RNU6-1283P	U6
ENSMMUG00000008153	ENSG00000169418	NPR1	NPR1
ENSMMUG00000017324	ENSG00000162849	KIF26B	KIF26B
ENSMMUG00000050220			
ENSMMUG00000052401			Metazoa_SRP
ENSMMUG00000059892			Metazoa_SRP
ENSMMUG00000027317	ENSG00000201170	RNU1-132P	U1
ENSMMUG00000008847	ENSG00000189410	SH2D5	SH2D5
ENSMMUG00000011424	ENSG00000203666	EFCAB2	EFCAB2
ENSMMUG00000057396			Metazoa_SRP
ENSMMUG00000036930	ENSG00000251754	RNU6-999P	U6
ENSMMUG00000060683			mml-mir-7180
ENSMMUG00000023150	ENSG00000163807	KIAA1143	KIAA1143
ENSMMUG00000051140	ENSG00000252282	RNU6-1089P	U6
ENSMMUG00000053368			
ENSMMUG00000036090	ENSG00000252073	RNU6-947P	U6
ENSMMUG00000050136			Metazoa_SRP
ENSMMUG00000060516			
ENSMMUG00000054234	ENSG00000120742	SERP1	SERP1
ENSMMUG00000021098	ENSG00000153187	HNRNPU	HNRNPU
ENSMMUG00000013353			
ENSMMUG00000059986			
ENSMMUG00000062668			U6
ENSMMUG00000058292			
ENSMMUG00000031175	ENSG00000203667	COX20	COX20
ENSMMUG00000048085			
ENSMMUG00000062648			
ENSMMUG00000054073			
ENSMMUG00000057626			
ENSMMUG00000018525	ENSG00000143801	PSEN2	PSEN2
ENSMMUG00000022310	ENSG00000121644	DESI2	DESI2
ENSMMUG00000058133			
ENSMMUG00000052237			Metazoa_SRP
ENSMMUG00000012031	ENSG00000171812	COL8A2	COL8A2
ENSMMUG00000000021	ENSG00000179397	CATSPERE	CATSPERE
ENSMMUG00000008636	ENSG00000163050	COQ8A	COQ8A
ENSMMUG00000050632	ENSG00000116863	ADPRS	ADPRS
ENSMMUG00000021388	ENSG00000159208	CIART	CIART
ENSMMUG00000062093			
ENSMMUG00000000016	ENSG00000035687	ADSS2	ADSS2
ENSMMUG00000012028	ENSG00000092850	TEKT2	TEKT2
ENSMMUG00000010176	ENSG00000143476	DTL	DTL
ENSMMUG00000000015	ENSG00000173728	SPMIP3	SPMIP3
ENSMMUG00000058747			
ENSMMUG00000059503			Metazoa_SRP
ENSMMUG00000053405			Metazoa_SRP
ENSMMUG00000058339			
ENSMMUG00000041413			mml-mir-3122
ENSMMUG00000006252	ENSG00000126070	AGO3	AGO3
ENSMMUG00000048772			
ENSMMUG00000050870	ENSG00000206889	RNU6-1200P	U6
ENSMMUG00000039543	ENSG00000244066	RN7SL148P	Metazoa_SRP
ENSMMUG00000053438			
ENSMMUG00000047935			
ENSMMUG00000011832	ENSG00000007968	E2F2	E2F2
ENSMMUG00000055596			Metazoa_SRP
ENSMMUG00000008149	ENSG00000143621	ILF2	ILF2
ENSMMUG00000015664	ENSG00000179456	ZBTB18	ZBTB18
ENSMMUG00000061500			
ENSMMUG00000019771	ENSG00000066027	PPP2R5A	PPP2R5A
ENSMMUG00000063991			
ENSMMUG00000058567			
ENSMMUG00000055600			
ENSMMUG00000058282			
ENSMMUG00000044406	ENSG00000185668	POU3F1	POU3F1
ENSMMUG00000049847			
ENSMMUG00000026424	ENSG00000201544	SNORA16B	SNORA16B
ENSMMUG00000055817			Metazoa_SRP
ENSMMUG00000042021	ENSG00000088280	ASAP3	ASAP3
ENSMMUG00000006251	ENSG00000092847	AGO1	AGO1
ENSMMUG00000002141	ENSG00000065600	PACC1	PACC1
ENSMMUG00000008836	ENSG00000117245	KIF17	DDOST
ENSMMUG00000002142	ENSG00000117691	NENF	NENF
ENSMMUG00000019995	ENSG00000117020	AKT3	AKT3
ENSMMUG00000000932	ENSG00000073711	PPP2R3A	PPP2R3A
ENSMMUG00000053224	ENSG00000143553	SNAPIN	SNAPIN
ENSMMUG00000015158	ENSG00000196517	SLC6A9	SLC6A9
ENSMMUG00000022196	ENSG00000173890	GPR160	GPR160
ENSMMUG00000008835	ENSG00000158828	PINK1	PINK1
ENSMMUG00000008146	ENSG00000160679	CHTOP	CHTOP
ENSMMUG00000064143			Metazoa_SRP
ENSMMUG00000034148	ENSG00000201342	RNU4-38P	U4
ENSMMUG00000010977	ENSG00000204219	TCEA3	TCEA3
ENSMMUG00000008145	ENSG00000160678	S100A1	S100A1
ENSMMUG00000056564	ENSG00000158825	CDA	CDA
ENSMMUG00000003304	ENSG00000182580	EPHB3	EPHB3
ENSMMUG00000015156	ENSG00000159214	CCDC24	CCDC24
ENSMMUG00000057586	ENSG00000189171	S100A13	S100A13
ENSMMUG00000031508	ENSG00000128789	PSMG2	
ENSMMUG00000054804			Metazoa_SRP
ENSMMUG00000003343	ENSG00000134698	AGO4	AGO4
ENSMMUG00000060391			
ENSMMUG00000055518	ENSG00000189334	S100A14	S100A14
ENSMMUG00000000933	ENSG00000174579	MSL2	MSL2
ENSMMUG00000025174	ENSG00000201405	Y_RNA	Y_RNA
ENSMMUG00000057562			
ENSMMUG00000050612			Metazoa_SRP
ENSMMUG00000057322			
ENSMMUG00000064198			
ENSMMUG00000063790			
ENSMMUG00000051858			
ENSMMUG00000015155	ENSG00000117411	B4GALT2	B4GALT2
ENSMMUG00000050796	ENSG00000183114	FAM43B	FAM43B
ENSMMUG00000045106	ENSG00000188643	S100A16	S100A16
ENSMMUG00000061927			Metazoa_SRP
ENSMMUG00000008638	ENSG00000143776	CDC42BPA	CDC42BPA
ENSMMUG00000016974	ENSG00000114841	DNAH1	DNAH1
ENSMMUG00000010973	ENSG00000125945	ZNF436	ZNF436
ENSMMUG00000002953	ENSG00000177383	MAGEF1	MAGEF1
ENSMMUG00000061122			
ENSMMUG00000010978	ENSG00000196754	S100A2	S100A2
ENSMMUG00000051774	ENSG00000090432	MUL1	MUL1
ENSMMUG00000054972			
ENSMMUG00000052045			Metazoa_SRP
ENSMMUG00000055243			
ENSMMUG00000022199	ENSG00000173889	PHC3	PHC3
ENSMMUG00000019994	ENSG00000054282	SDCCAG8	SDCCAG8
ENSMMUG00000050423			
ENSMMUG00000031655	ENSG00000188015	S100A3	S100A3
ENSMMUG00000053265			
ENSMMUG00000022884	ENSG00000135821	GLUL	GLUL
ENSMMUG00000063102	ENSG00000162545	CAMK2N1	CAMK2N1
ENSMMUG00000010979	ENSG00000196154	S100A4	S100A4
ENSMMUG00000015150	ENSG00000132768	DPH2	DPH2
ENSMMUG00000010970	ENSG00000125944	HNRNPR	HNRNPR
ENSMMUG00000010980	ENSG00000196420	S100A5	S100A5
ENSMMUG00000064110			
ENSMMUG00000008917	ENSG00000197956	S100A6	S100A6
ENSMMUG00000055701			
ENSMMUG00000053474			Metazoa_SRP
ENSMMUG00000022886	ENSG00000203730	TEDDM1	TEDDM1
ENSMMUG00000003262	ENSG00000114054	PCCB	PCCB
ENSMMUG00000058556			U6
ENSMMUG00000011221	ENSG00000162897	FCAMR	FCAMR
ENSMMUG00000049444			
ENSMMUG00000040678	ENSG00000263841	RN7SL44P	Metazoa_SRP
ENSMMUG00000006022	ENSG00000158816	VWA5B1	VWA5B1
ENSMMUG00000001803	ENSG00000265107	GJA5	GJA5
ENSMMUG00000010961	ENSG00000092853	CLSPN	CLSPN
ENSMMUG00000059457			
ENSMMUG00000022173	ENSG00000182795	C1orf116	C1H1orf116
ENSMMUG00000047604	ENSG00000277762	RN7SL261P	Metazoa_SRP
ENSMMUG00000056485	ENSG00000184330	S100A7A	
ENSMMUG00000032222	ENSG00000179546	HTR1D	HTR1D
ENSMMUG00000022171	ENSG00000180667	YOD1	YOD1
ENSMMUG00000061389			Metazoa_SRP
ENSMMUG00000004833			
ENSMMUG00000031291	ENSG00000121446	RGSL1	RGSL1
ENSMMUG00000004835			
ENSMMUG00000012185	ENSG00000162772	ATF3	ATF3
ENSMMUG00000036025	ENSG00000252578	RNU6-135P	U6
ENSMMUG00000056752	ENSG00000206935	RNU6-514P	U6
ENSMMUG00000001349	ENSG00000134121	CHL1	CHL1
ENSMMUG00000052576	ENSG00000162771	GARIN4	GARIN4
ENSMMUG00000005740	ENSG00000162402	USP24	USP24
ENSMMUG00000047853	ENSG00000184330	S100A7A	
ENSMMUG00000045584	ENSG00000169641	LUZP1	LUZP1
ENSMMUG00000013857	ENSG00000023909	GCLM	GCLM
ENSMMUG00000016982	ENSG00000163930	BAP1	BAP1
ENSMMUG00000052341			
ENSMMUG00000056664	ENSG00000199536	RNU6-315P	U6
ENSMMUG00000015142	ENSG00000117408	IPO13	IPO13
ENSMMUG00000004832			
ENSMMUG00000022170	ENSG00000123836	PFKFB2	PFKFB2
ENSMMUG00000035795			U7
ENSMMUG00000038517	ENSG00000162543	UBXN10	UBXN10
ENSMMUG00000021387	ENSG00000118292	C1orf54	C1H1orf54
ENSMMUG00000015056	ENSG00000123685	BATF3	BATF3
ENSMMUG00000044778	ENSG00000143546	S100A8	S100A8
ENSMMUG00000052344	ENSG00000187980	PLA2G2C	PLA2G2C
ENSMMUG00000059270	ENSG00000142686	C1orf216	C1H1orf216
ENSMMUG00000061945			U6
ENSMMUG00000064796	ENSG00000163221	S100A12	S100A12
ENSMMUG00000006868	ENSG00000163220	S100A9	S100A9
ENSMMUG00000008435	ENSG00000067334	DNTTIP2	DNTTIP2
ENSMMUG00000049733	ENSG00000158786	PLA2G2F	PLA2G2F
ENSMMUG00000005634	ENSG00000135828	RNASEL	RNASEL
ENSMMUG00000006865	ENSG00000163218	PGLYRP4	PGLYRP4
ENSMMUG00000019287	ENSG00000117697	NSL1	NSL1
ENSMMUG00000013090	ENSG00000126067	PSMB2	PSMB2
ENSMMUG00000058244			
ENSMMUG00000052239	ENSG00000207321	RNU6-160P	U6
ENSMMUG00000053940	ENSG00000159527	PGLYRP3	PGLYRP3
ENSMMUG00000064041			
ENSMMUG00000032677	ENSG00000211575	MIR760	MIR760
ENSMMUG00000060204			Metazoa_SRP
ENSMMUG00000053534			Metazoa_SRP
ENSMMUG00000045550	ENSG00000117215	PLA2G2D	PLA2G2D
ENSMMUG00000051554			Metazoa_SRP
ENSMMUG00000022168	ENSG00000123843	C4BPB	C4BPB
ENSMMUG00000009773	ENSG00000004487	KDM1A	KDM1A
ENSMMUG00000042187	ENSG00000265201	MIR4677	MIR4677
ENSMMUG00000043598			LORICRIN
ENSMMUG00000055481	ENSG00000143333	RGS16	RGS16
ENSMMUG00000061167	ENSG00000117407	ARTN	ARTN
ENSMMUG00000045959			
ENSMMUG00000019815	ENSG00000116819	TFAP2E	TFAP2E
ENSMMUG00000031430	ENSG00000203705	TATDN3	TATDN3
ENSMMUG00000021750	ENSG00000203783	PRR9	PRR9
ENSMMUG00000064805	ENSG00000127472	PLA2G5	PLA2G5
ENSMMUG00000051645			
ENSMMUG00000011222	ENSG00000163558	PRKCI	PRKCI
ENSMMUG00000057430			
ENSMMUG00000051591			
ENSMMUG00000016984	ENSG00000010318	PHF7	PHF7
ENSMMUG00000064352			
ENSMMUG00000059169	ENSG00000185523	SPATA45	SPATA45
ENSMMUG00000013738			C4BPA
ENSMMUG00000008990	ENSG00000135824	RGS8	RGS8
ENSMMUG00000021862	ENSG00000188257	PLA2G2A	PLA2G2A
ENSMMUG00000049143			
ENSMMUG00000037766	ENSG00000242688	RN7SL304P	Metazoa_SRP
ENSMMUG00000019812	ENSG00000020129	NCDN	NCDN
ENSMMUG00000015924	ENSG00000137936	BCAR3	BCAR3
ENSMMUG00000055077	ENSG00000273274	ZBTB8B	ZBTB8B
ENSMMUG00000050331			Metazoa_SRP
ENSMMUG00000041086	ENSG00000263529	RN7SL122P	Metazoa_SRP
ENSMMUG00000011732	ENSG00000162769	FLVCR1	FLVCR1
ENSMMUG00000053964	ENSG00000188784	PLA2G2E	PLA2G2E
ENSMMUG00000000425	ENSG00000156931	VPS8	VPS8
ENSMMUG00000018872	ENSG00000010319	SEMA3G	SEMA3G
ENSMMUG00000015555	ENSG00000126091	ST3GAL3	ST3GAL3
ENSMMUG00000061474			
ENSMMUG00000055316			
ENSMMUG00000019914	ENSG00000143702	CEP170	CEP170
ENSMMUG00000020834	ENSG00000183520	UTP11	UTP11
ENSMMUG00000054857			
ENSMMUG00000010764	ENSG00000169914	OTUD3	OTUD3
ENSMMUG00000055798			
ENSMMUG00000036441	ENSG00000252920		
ENSMMUG00000064729	ENSG00000163209	SPRR3	SPRR3
ENSMMUG00000057296			
ENSMMUG00000011733	ENSG00000143494	VASH2	VASH2
ENSMMUG00000005618	ENSG00000114854	TNNC1	TNNC1
ENSMMUG00000023624			Metazoa_SRP
ENSMMUG00000015922	ENSG00000137942	FNBP1L	FNBP1L
ENSMMUG00000001264	ENSG00000160058	BSDC1	BSDC1
ENSMMUG00000063702			
ENSMMUG00000054613	ENSG00000178828	RNF186	RNF186
ENSMMUG00000008992	ENSG00000135838	NPL	NPL
ENSMMUG00000016215	ENSG00000127124	HIVEP3	HIVEP3
ENSMMUG00000042618	ENSG00000163207	IVL	IVL
ENSMMUG00000011711	ENSG00000196352	CD55	CD55
ENSMMUG00000017740	ENSG00000163206	SMCP	SMCP
ENSMMUG00000019806	ENSG00000142687	KIAA0319L	KIAA0319L
ENSMMUG00000011735	ENSG00000174606	ANGEL2	ANGEL2
ENSMMUG00000002492	ENSG00000162542	TMCO4	TMCO4
ENSMMUG00000016214	ENSG00000127129	EDN2	EDN2
ENSMMUG00000037367			U6
ENSMMUG00000055038			
ENSMMUG00000003263	ENSG00000118007	STAG1	STAG1
ENSMMUG00000054634	ENSG00000240386	LCE1F	LCE1F
ENSMMUG00000044175	ENSG00000204060	FOXO6	FOXO6
ENSMMUG00000063714			
ENSMMUG00000051719	ENSG00000196734	LCE1B	
ENSMMUG00000051719	ENSG00000197084	LCE1C	
ENSMMUG00000027973	ENSG00000207379	Y_RNA	Y_RNA
ENSMMUG00000052260			Metazoa_SRP
ENSMMUG00000059561			
ENSMMUG00000054650			
ENSMMUG00000049795	ENSG00000200118	Y_RNA	Y_RNA
ENSMMUG00000058472	ENSG00000186226	LCE1E	
ENSMMUG00000058472	ENSG00000172155	LCE1D	
ENSMMUG00000058332	ENSG00000227868	TEX46	TEX46
ENSMMUG00000043588			
ENSMMUG00000064604			Metazoa_SRP
ENSMMUG00000056940	ENSG00000186226	LCE1E	
ENSMMUG00000056940	ENSG00000172155	LCE1D	
ENSMMUG00000062759			
ENSMMUG00000062448			Metazoa_SRP
ENSMMUG00000063749	ENSG00000158748	HTR6	HTR6
ENSMMUG00000048617	ENSG00000244169	RN7SL120P	Metazoa_SRP
ENSMMUG00000050859			Y_RNA
ENSMMUG00000005619	ENSG00000010322	NISCH	NISCH
ENSMMUG00000055266	ENSG00000186226	LCE1E	
ENSMMUG00000055266	ENSG00000172155	LCE1D	
ENSMMUG00000041482	ENSG00000215906	LACTBL1	LACTBL1
ENSMMUG00000012479	ENSG00000066135	KDM4A	KDM4A
ENSMMUG00000061742			Metazoa_SRP
ENSMMUG00000051816	ENSG00000203786	KPRP	KPRP
ENSMMUG00000039099	ENSG00000136603	SKIL	SKIL
ENSMMUG00000063085			Metazoa_SRP
ENSMMUG00000005635	ENSG00000135829	DHX9	DHX9
ENSMMUG00000017104	ENSG00000010803	SCMH1	SCMH1
ENSMMUG00000001966			KPLCE
ENSMMUG00000013602	ENSG00000117322	CR2	CR2
ENSMMUG00000032231	ENSG00000158747	NBL1	NBL1
ENSMMUG00000053960			Metazoa_SRP
ENSMMUG00000059167			Metazoa_SRP
ENSMMUG00000016812	ENSG00000122483	CCDC18	CCDC18
ENSMMUG00000049843	ENSG00000159455	LCE2B	
ENSMMUG00000049843	ENSG00000187180	LCE2C	
ENSMMUG00000049843	ENSG00000187223	LCE2D	
ENSMMUG00000062996			
ENSMMUG00000014874	ENSG00000163607	GTPBP8	GTPBP8
ENSMMUG00000004265	ENSG00000180287	PLD5	PLD5
ENSMMUG00000008549	ENSG00000134115	CNTN6	CNTN6
ENSMMUG00000049286	ENSG00000159455	LCE2B	
ENSMMUG00000049286	ENSG00000187180	LCE2C	
ENSMMUG00000049286	ENSG00000187223	LCE2D	
ENSMMUG00000059260	ENSG00000013297	CLDN11	CLDN11
ENSMMUG00000064556	ENSG00000131368	MRPS25	MRPS25
ENSMMUG00000003581	ENSG00000121933	TMIGD3	TMIGD3
ENSMMUG00000053735			
ENSMMUG00000023382	ENSG00000133216	EPHB2	EPHB2
ENSMMUG00000017103	ENSG00000171790	SLFNL1	SLFNL1
ENSMMUG00000058094			
ENSMMUG00000005210	ENSG00000136643	RPS6KC1	RPS6KC1
ENSMMUG00000056808			
ENSMMUG00000056341	ENSG00000162526	TSSK3	TSSK3
ENSMMUG00000013596	ENSG00000203710	CR1	CR1
ENSMMUG00000014876	ENSG00000163608	NEPRO	NEPRO
ENSMMUG00000050804	ENSG00000166136	NDUFB8	
ENSMMUG00000053498			
ENSMMUG00000013987	ENSG00000013293	SLC7A14	SLC7A14
ENSMMUG00000035346			U6
ENSMMUG00000000352	ENSG00000225828	FAM229A	FAM229A
ENSMMUG00000052516	ENSG00000200360	RNU6-792P	U6
ENSMMUG00000058456	ENSG00000169509	CRCT1	CRCT1
ENSMMUG00000005158	ENSG00000131381	RBSN	RBSN
ENSMMUG00000001967	ENSG00000186207	LCE5A	LCE5A
ENSMMUG00000053723	ENSG00000197769	MAP1LC3C	
ENSMMUG00000003579	ENSG00000143110	C1orf162	C1H1orf162
ENSMMUG00000017101	ENSG00000171793	CTPS1	CTPS1
ENSMMUG00000053323			
ENSMMUG00000015081	ENSG00000157060	SHCBP1L	SHCBP1L
ENSMMUG00000059352			
ENSMMUG00000061598			
ENSMMUG00000060345	ENSG00000196289	BECN2	BECN2
ENSMMUG00000009951	ENSG00000175130	MARCKSL1	MARCKSL1
ENSMMUG00000050772			
ENSMMUG00000061527			
ENSMMUG00000009040	ENSG00000143536	CRNN	CRNN
ENSMMUG00000040888	ENSG00000197721	CR1L	CR1L
ENSMMUG00000052779			Metazoa_SRP
ENSMMUG00000056511			
ENSMMUG00000051943			
ENSMMUG00000065322	ENSG00000116459	ATP5PB	ATP5PB
ENSMMUG00000045421	ENSG00000117500	TMED5	TMED5
ENSMMUG00000060445			
ENSMMUG00000023145	ENSG00000160753	RUSC1	RUSC1
ENSMMUG00000057590			Y_RNA
ENSMMUG00000009948	ENSG00000116478	HDAC1	HDAC1
ENSMMUG00000059472	ENSG00000143520	FLG2	FLG2
ENSMMUG00000059665	ENSG00000100439	ABHD4	
ENSMMUG00000044187			
ENSMMUG00000008761	ENSG00000174371	EXO1	EXO1
ENSMMUG00000022881	ENSG00000163584	RPL22L1	RPL22L1
ENSMMUG00000061947			
ENSMMUG00000009425			
ENSMMUG00000053610			Metazoa_SRP
ENSMMUG00000015084	ENSG00000135862	LAMC1	LAMC1
ENSMMUG00000063539	ENSG00000201609	RNU4-28P	U4
ENSMMUG00000058486	ENSG00000173369	C1QB	C1QB
ENSMMUG00000053934			Metazoa_SRP
ENSMMUG00000064774			
ENSMMUG00000022880	ENSG00000163577	EIF5A2	EIF5A2
ENSMMUG00000055760			
ENSMMUG00000046670	ENSG00000170893	TRH	TRH
ENSMMUG00000025175	ENSG00000199488	RNU1-70P	U1
ENSMMUG00000063807			
ENSMMUG00000021386	ENSG00000117362	APH1A	APH1A
ENSMMUG00000020756	ENSG00000159189	C1QC	C1QC
ENSMMUG00000016808	ENSG00000143033	MTF2	MTF2
ENSMMUG00000062669			
ENSMMUG00000056158			
ENSMMUG00000040694	ENSG00000182866	LCK	LCK
ENSMMUG00000043675	ENSG00000179862	CITED4	CITED4
ENSMMUG00000014385	ENSG00000163581	SLC2A2	SLC2A2
ENSMMUG00000006894	ENSG00000077549	CAPZB	CAPZB
ENSMMUG00000013561	ENSG00000162836	ACP6	ACP6
ENSMMUG00000008763	ENSG00000162843	WDR64	WDR64
ENSMMUG00000063725			
ENSMMUG00000007129	ENSG00000117335	CD46	CD46
ENSMMUG00000019536	ENSG00000117013	KCNQ4	KCNQ4
ENSMMUG00000003309	ENSG00000085465	OVGP1	OVGP1
ENSMMUG00000001847	ENSG00000144619	CNTN4	CNTN4
